priref;rce_id;institution_name;institution_place;material_1;material_2;category;object_name;creator_name;creator_birth_date;creator_death_date;creator_digital_reference;cretor_gender;Production/0/creator/gender/text/1/_language;Production/0/creator/gender/text/1/__text;creator_pob;creator_pod;production_place;title;acquisition_source;acquisition_place;associated_subject
44;rce_44;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;pâte;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;
74;rce_74;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;kast
178;rce_178;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;kast
211;rce_211;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Blok van Loer, G.A.;Den Haag;kast
216;rce_216;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;koperlegering;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Veen, A.J. van;BLARICUM;kast
217;rce_217;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;armstoel;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Veen;Den Haag;meubel
218;rce_218;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;palissanderhout;;toegepaste kunst;rankenkast;onbekend;;;;unknown;1;onbekend;;;;-;Academie van Beeldende Kunsten Den Haag;Den Haag;kussenkast
222;rce_222;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;tafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;tafel
457;rce_457;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;oude kunst;figuurplastiek;Fiaschi, P.C.E.;;;;male;1;man;;;;Vrouwefiguur;Kunsthandel Van Veen;Den Haag;beeldhouwkunst
491;rce_491;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;messing;toegepaste kunst;buffet;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;meubel
500;rce_500;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;iepenhout;bekledingsstof;toegepaste kunst;armstoel;onbekend;;;;unknown;1;onbekend;;;Nederland?;-;Kunsthandel Van Veen;Den Haag;meubel
509;rce_509;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Duitsland?;-;Kunsthandel Van Veen;Den Haag;
518;rce_518;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;marmer;toegepaste kunst;commode;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Vuren, Th. van;Den Haag;meubel
528;rce_528;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;wortelnotenhout;iepenhout;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Ven, van der;DEN BOSCH;
550;rce_550;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;pâte;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;
614;rce_614;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;
615;rce_615;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bloemmahoniehout;brons;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;kast
651;rce_651;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;riet;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Iperen;Amsterdam;meubel
725;rce_725;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;pâte;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Veen;Den Haag;
779;rce_779;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;metaal;;toegepaste kunst;hangoortafel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;meubel
909;rce_909;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;potloodtekening;Vintcent, L.A.;1812-06-23;1842-05-06;https://rkd.nl/explore/artists/81173;male;1;man;Den Haag;Haarlem;;Marinus Piepers (1771-1861);Koppenol, mw.;Den Haag;werk op papier
946;rce_946;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;pâte;vurenhout;toegepaste kunst;schoorsteenspiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Hasseley Kirchner Bloemswaard, H.J.;Baarn;interieuraccessoire
1073;rce_1073;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;fluweel;;toegepaste kunst;armstoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;meubel
1139;rce_1139;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;kinderstoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;onbekend;;kindermeubel
